,Date,Poll,Total voter,Yes,Yes(percent),No,No(percent),No comment,No comment(percent)
55,১১ অক্টোবর ২০২২,"কৃষিমন্ত্রী মো. আব্দুর রাজ্জাক বলেছেন, দেশে কোনো খাদ্যসংকট হবে না, হাহাকার হবে না, দুর্ভিক্ষ হবে না। দেশে ক্রমবর্ধমান মূল্যস্ফীতি ও জ্বালানি ছাড়াও নিত্যপ্রয়োজনীয় পণ্যের অব্যাহত মূল্যবৃদ্ধির প্রেক্ষাপটে তাঁর এ বক্তব্যে আপনার আস্থা আছে কি?",ভোট দিয়েছেন ৫২২৭ জন,হ্যাঁ (৩১৪ জন),৬%,না (৪৮৬১ জন),৯৩%,মন্তব্য নেই (৫২ জন),১%
56,১০ অক্টোবর ২০২২,"জাতীয় সংসদ নির্বাচন সামনে রেখে বাংলাদেশে বিরোধী দলের সদস্যদের বাড়িতে পুলিশের অভিযান সহিংসতা আর ভীতির পরিবেশ তৈরি করছে, মানবাধিকার সংস্থা হিউম্যান রাইটস ওয়াচের (এইচআরডব্লিউ) এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৬৩৮৩ জন,হ্যাঁ (৫০৪৩ জন),৭৯%,না (১২৭৭ জন),২০%,মন্তব্য নেই (৬৪ জন),১%
57,৮ অক্টোবর ২০২২,"সিইসি কাজী হাবিবুল আউয়াল বলেছেন, নির্বাচনের মাঠে জেলা প্রশাসক (ডিসি) ও পুলিশ সুপারদের (এসপি) দলীয় কর্মী হিসেবে নয়, সরকারি কর্মচারী হিসেবে দায়িত্ব পালন করতে হবে। তাঁর এই নির্দেশনায় কাজ হবে বলে আপনি কি মনে করেন?",ভোট দিয়েছেন ৭২৫৯ জন,হ্যাঁ (২১৮ জন),৩%,না (৬৯৬৯ জন),৯৬%,মন্তব্য নেই (৭৩ জন),১%
58,৭ অক্টোবর ২০২২,ইরানে পুলিশি হেফাজতে কুর্দি তরুণী মাসা আমিনির মৃত্যু কোনো হাতাহাতি বা মারধরের কারণে হয়নি। তাঁর মৃত্যু হয়েছে অসুস্থতার কারণে। মাসার মৃত্যুর তিন সপ্তাহ পর শুক্রবার দেশটির ফরেনসিক মেডিসিন অর্গানাইজেশন এ তথ্য জানায়। এই তথ্য দেশটিতে চলমান সহিংস বিক্ষোভ প্রশমনে ভূমিকা রাখবে বলে আপনি মনে করেন কি?,ভোট দিয়েছেন ৩৭৩৪ জন,হ্যাঁ (৯৩৪ জন),২৫%,না (২৬১৪ জন),৭০%,মন্তব্য নেই (১৮৭ জন),৫%
59,৬ অক্টোবর ২০২২,সরকারের প্রতি জ্বালানি তেলে শুল্ক-করে ছাড় ও মুনাফা না করার দাবি জানিয়েছে তৈরি পোশাক খাতের ব্যবসায়ীদের সংগঠন বিজিএমই। আপনি কি তা সমর্থন করেন?,ভোট দিয়েছেন ২১৪৫ জন,হ্যাঁ (১৮৮৮ জন),৮৮%,না (২৩৬ জন),১১%,মন্তব্য নেই (২১ জন),১%
60,৫ অক্টোবর ২০২২,"বিদ্যুতের দাম বাড়ানো হলে বর্তমানের উচ্চ মূল্যস্ফীতিকে আরও উসকে দেবে, তাতে স্বল্প আয়ের মানুষের টিকে থাকা কঠিন হয়ে পড়বে—বিশ্বব্যাংকের ঢাকা কার্যালয়ের সাবেক মুখ্য অর্থনীতিবিদ জাহিদ হোসেনের এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৫১৮৭ জন,হ্যাঁ (৫০৮৩ জন),৯৮%,না (১০৪ জন),২%,মন্তব্য নেই (০ জন),০%
61,৪ অক্টোবর ২০২২,রাজধানীর ইডেন কলেজে ‘ভয়াবহ পরিস্থিতির’ সত্য-মিথ্যা বের করতে বিচার বিভাগীয় তদন্তের দাবি জানিয়েছেন ২১ জন নারী অধিকারকর্মী। আপনি কি তা সমর্থন করেন?,ভোট দিয়েছেন ৪৫১৬ জন,হ্যাঁ (৪৩৩৫ জন),৯৬%,না (১৩৫ জন),৩%,মন্তব্য নেই (৪৫ জন),১%
62,৩ অক্টোবর ২০২২,"এখন এত বছর পর কার বিরুদ্ধে কী ব্যবস্থা নেওয়া হবে, এটা একটা জটিল বিষয়—ডেমু ট্রেন কিনে ৬০০ কোটি টাকা গচ্চা দেওয়ার জন্য দায়ীদের বিরুদ্ধে ব্যবস্থা প্রসঙ্গে রেলমন্ত্রী নূরুল ইসলামের এই বক্তব্য যৌক্তিক বলে আপনি কি মনে করেন?",ভোট দিয়েছেন ৫৭৬৫ জন,হ্যাঁ (১৭৩ জন),৩%,না (৫৫৯২ জন),৯৭%,মন্তব্য নেই (০ জন),০%
63,১ অক্টোবর ২০২২,"ভোজ্যতেলের দাম বাড়ায় ভ্যাটে ছাড় দিয়েছিল সরকার, এখন তা তুলে নেওয়া হয়েছে। সরকারের এই সিদ্ধান্ত ঠিক হয়েছে বলে আপনি কি মনে করেন?",ভোট দিয়েছেন ৩৯০৬ জন,হ্যাঁ (৪৩০ জন),১১%,না (৩৪৩৭ জন),৮৮%,মন্তব্য নেই (৩৯ জন),১%
64,৩০ সেপ্টেম্বর ২০২২,গণভোটের পর ইউক্রেনের চার অঞ্চলকে রাশিয়া ফেডারেশনের সঙ্গে যুক্ত করার আনুষ্ঠানিক ঘোষণা দিয়েছেন রুশ প্রেসিডেন্ট ভ্লাদিমির পুতিন। তাৎক্ষণিক জবাবে যুক্তরাষ্ট্র ও যুক্তরাজ্য মস্কোর বিরুদ্ধে নতুন নিষেধাজ্ঞা আরোপ করেছে। দুই পক্ষের এমন পদক্ষেপে বিশ্বজুড়ে অর্থনীতিতে চাপ ও অস্থিরতা আরও বাড়বে বলে আপনি মনে করেন কি?,ভোট দিয়েছেন ৪২৩৪ জন,হ্যাঁ (৪০২২ জন),৯৫%,না (১৬৯ জন),৪%,মন্তব্য নেই (৪২ জন),১%
65,২৯ সেপ্টেম্বর ২০২২,বর্তমান পুলিশ আগের চেয়ে অনেক বেশি গণমুখী—বিদায়ী আইজিপি বেনজীর আহমেদের এই বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৮৩০৫ জন,হ্যাঁ (৭৪৭ জন),৯%,না (৭৪৭৫ জন),৯০%,মন্তব্য নেই (৮৩ জন),১%
66,২৮ সেপ্টেম্বর ২০২২,বিএনপি ইচ্ছা করেই সংঘাতে জড়ানোর জন্য আওয়ামী লীগ ও পুলিশকে উসকানি দিচ্ছে– আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদেরের এই বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৮৭৪৭ জন,হ্যাঁ (১৪০০ জন),১৬%,না (৭২৬০ জন),৮৩%,মন্তব্য নেই (৮৭ জন),১%
67,২৮ সেপ্টেম্বর ২০২২,"ছাত্রদলের নেতাদের ওপর ছাত্রলীগের হামলা তদন্তে কমিটি করার কথা জানিয়ে ঢাকা বিশ্ববিদ্যালয়ের উপাচার্য মো. আখতারুজ্জামান বলেছেন, ‘কোথায় কী, তা আমরা এখনো জানি না।’ এ কথা বলে উপাচার্য দায়িত্ব এড়াতে পারেন বলে আপনি মনে করেন কি?",ভোট দিয়েছেন ৭৪৪৮ জন,হ্যাঁ (২৯৮ জন),৪%,না (৭০৭৬ জন),৯৫%,মন্তব্য নেই (৭৪ জন),১%
68,২৬ সেপ্টেম্বর ২০২২,দেশে নৌ দুর্ঘটনায় প্রাণহানির পেছনে সরকারের নজরদারির ঘাটতি একটি বড় কারণ—বুয়েটের অ্যাকসিডেন্ট রিসার্চ ইনস্টিটিউটের সহকারী অধ্যাপক মো. ইমরান উদ্দিনের এ বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৪৭০৪ জন,হ্যাঁ (৪৩৭৫ জন),৯৩%,না (২৮২ জন),৬%,মন্তব্য নেই (৪৭ জন),১%
69,২৫ সেপ্টেম্বর ২০২২,"ইউএনওরা নদী রক্ষায় যতটা না আগ্রহী, তার চেয়ে নদীর জমি ব্যক্তির নামে দিতে বেশি আগ্রহী—জাতীয় নদী রক্ষা কমিশনের চেয়ারম্যান মনজুর আহমেদ চৌধুরীর এই বক্তব্যের সঙ্গে আপনি একমত?",ভোট দিয়েছেন ৪৭৩৪ জন,হ্যাঁ (৪৪৯৭ জন),৯৫%,না (১৮৯ জন),৪%,মন্তব্য নেই (৪৭ জন),১%
70,২৪ সেপ্টেম্বর ২০২২,"বিএনপির সাম্প্রতিক কর্মসূচিগুলোতে জমায়েত বাড়ার কথা উল্লেখ করে দলটির সংসদ সদস্য রুমিন ফারহানা বলেছেন, বিএনপি প্রতিনিয়ত শক্তিশালী হচ্ছে। আপনি কি তাঁর এ বক্তব্যের সঙ্গে একমত?",ভোট দিয়েছেন ৬৪৯৫ জন,হ্যাঁ (৫০০১ জন),৭৭%,না (১৩৬৪ জন),২১%,মন্তব্য নেই (১৩০ জন),২%
71,২৩ সেপ্টেম্বর ২০২২,"ছুটিতে থেকেও ওয়াসার এমডি তাকসিম এ খান জাপানে শিক্ষাসফরে যাবেন বলে সরকারি আদেশ হয়েছে। এ বিষয়ে ঢাকা ওয়াসার উপপ্রধান জনতথ্য কর্মকর্তা এ এম মোস্তফা তারেক বলেন, সরকারি নিয়মনীতি মেনেই সবকিছু করা হয়েছে, নিয়মের কোনো ব্যত্যয় হয়নি—আপনিও কি তা–ই মনে করেন?",ভোট দিয়েছেন ৬৩৯০ জন,হ্যাঁ (১৯২ জন),৩%,না (৬১৩৪ জন),৯৬%,মন্তব্য নেই (৬৪ জন),১%
72,২২ সেপ্টেম্বর ২০২২,কুড়িগ্রামে এসএসসি পরীক্ষার প্রশ্নপত্র ফাঁসের ঘটনায় কেন্দ্রসচিব ছাড়াও দায়িত্বে থাকা অন্যদের অবহেলা রয়েছে—ঢাকা শিক্ষা বোর্ডের সাবেক চেয়ারম্যান অধ্যাপক তাসলিমা বেগমের এই বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৪০৪৮ জন,হ্যাঁ (৩৯২৭ জন),৯৭%,না (৮১ জন),২%,মন্তব্য নেই (৪০ জন),১%
73,২১ সেপ্টেম্বর ২০২২,পুরুষ ও নারী খেলোয়াড়দের বেতনবৈষম্য দূর করার দাবি উঠেছে। আপনি কি তা সমর্থন করেন?,ভোট দিয়েছেন ৫৪৪০ জন,হ্যাঁ (৪২৯৮ জন),৭৯%,না (১০৩৪ জন),১৯%,মন্তব্য নেই (১০৯ জন),২%
74,২০ সেপ্টেম্বর ২০২২,গুমের অভিযোগ পেলে যথাযথ তদন্ত সাপেক্ষে ভুক্তভোগীকে উদ্ধারে সরকার বদ্ধপরিকর—জাতিসংঘ মানবাধিকার পরিষদে দেওয়া সরকারের এ বক্তব্যে আপনি কি আস্থাশীল?,ভোট দিয়েছেন ৪৩৫১ জন,হ্যাঁ (৩৪৮ জন),৮%,না (৩৯৫৯ জন),৯১%,মন্তব্য নেই (৪৪ জন),১%
75,১৯ সেপ্টেম্বর ২০২২,বন্ধের চার মাসের মাথায় সরকারি কর্মচারীদের দক্ষতা বৃদ্ধির জন্য সীমিত আকারে বিদেশ ভ্রমণের সুযোগ দিয়েছে সরকার—এখন এই শর্ত শিথিলের সময় হয়েছে বলে আপনি কি মনে করেন?,ভোট দিয়েছেন ৪৯৭৪ জন,হ্যাঁ (২৯৮ জন),৬%,না (৪৬২৬ জন),৯৩%,মন্তব্য নেই (৫০ জন),১%
76,১৮ সেপ্টেম্বর ২০২২,"কৃষিমন্ত্রী মো. আব্দুর রাজ্জাক বলেছেন, ডিমের দাম বেড়েছে, তবে এটি সাময়িক। শিগগিরই দাম কমে আসবে। দাম কমবে বলে আপনি কি মনে করেন?",ভোট দিয়েছেন ৫৪৯৩ জন,হ্যাঁ (৫৪৯ জন),১০%,না (৪৮৮৯ জন),৮৯%,মন্তব্য নেই (৫৫ জন),১%
77,১৭ সেপ্টেম্বর ২০২২,"রাজধানীর পাইকপাড়ায় রাস্তা ও ফুটপাতে গণপূর্তের নির্মাণকাজের রড, সিমেন্ট ও অন্যান্য সামগ্রী পড়ে থাকতে দেখে সেগুলো নিলামে বিক্রি করেছে ঢাকা উত্তর সিটি করপোরেশন। এ ধরনের পদক্ষেপ নিলে সরকারি প্রতিষ্ঠানগুলোর গাফিলতি কমবে বলে কি আপনি মনে করেন?",ভোট দিয়েছেন ৩৯৩৪ জন,হ্যাঁ (৩৫৪১ জন),৯০%,না (৩৫৪ জন),৯%,মন্তব্য নেই (৩৯ জন),১%
78,১৬ সেপ্টেম্বর ২০২২,"বিশ্ব স্বাস্থ্য সংস্থা বলছে, বাংলাদেশে করোনার সংক্রমণ বাড়ছে। সংস্থার পরিসংখ্যান অনুযায়ী এক সপ্তাহের ব্যবধানে সংক্রমণ ৪৭ শতাংশ বেড়েছে। এ অবস্থায় করোনাকালীন স্বাস্থ্যবিধি অনুসরণের ওপর নতুন করে জোর দেওয়া উচিত বলে আপনি মনে করেন কি?",ভোট দিয়েছেন ৩৪৩৮ জন,হ্যাঁ (২৬১৩ জন),৭৬%,না (৭৫৬ জন),২২%,মন্তব্য নেই (৬৯ জন),২%
79,১৫ সেপ্টেম্বর ২০২২,পরীক্ষার ফলাফলের ভিত্তিতে সবকিছু বিবেচনা করায় বিদ্যালয়গুলোতে এখন ভয় ও প্রতিদ্বন্দ্বিতার সংস্কৃতি গড়ে উঠেছে—ঢাকা বিশ্ববিদ্যালয়ের শিক্ষা ও গবেষণা ইনস্টিটিউটের শিক্ষক মুহাম্মদ মাহবুব মোর্শেদের এ বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ২১৬০ জন,হ্যাঁ (২০৫২ জন),৯৫%,না (৮৬ জন),৪%,মন্তব্য নেই (২২ জন),১%
80,১৪ সেপ্টেম্বর ২০২২,"কৃষিমন্ত্রী আব্দুর রাজ্জাক বলেছেন, বিএনপি যখন ক্ষমতায় ছিল, বাংলাদেশে তখন খাদ্যঘাটতি ছিল। আওয়ামী লীগ ক্ষমতায় এসে দেশকে খাদ্যে স্বয়ংসম্পূর্ণ করেছে। খাদ্যসামগ্রীসহ নিত্যপণ্যের উচ্চমূল্যের প্রেক্ষাপটে তাঁর এ বক্তব্য যৌক্তিক বলে আপনি মনে করেন কি?",ভোট দিয়েছেন ৬০০৩ জন,হ্যাঁ (৬৬০ জন),১১%,না (৫২৮৩ জন),৮৮%,মন্তব্য নেই (৬০ জন),১%
81,১৩ সেপ্টেম্বর ২০২২,"খাদ্যমন্ত্রী সাধন চন্দ্র মজুমদার বলেছেন, চালের বাজারে সিন্ডিকেট ভাঙতে গোয়েন্দা সংস্থা কাজ করছে, তবু সিন্ডিকেট ভাঙছে না। এ কথা বলে মন্ত্রী দায় এড়াতে পারেন বলে আপনি কি মনে করেন?",ভোট দিয়েছেন ৬৭৯৪ জন,হ্যাঁ (১৩৬ জন),২%,না (৬৬৫৮ জন),৯৮%,মন্তব্য নেই (০ জন),০%
82,১২ সেপ্টেম্বর ২০২২,"বাংলাদেশ খুব ভালো দল, ছোট ছোট ভুলগুলো ঠিক করতে পারলেই সাফল্য আসবে—বিসিবি সভাপতি নাজমুল হাসানের এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৭৪৯৬ জন,হ্যাঁ (১১২৪ জন),১৫%,না (৬২৯৭ জন),৮৪%,মন্তব্য নেই (৭৫ জন),১%
83,১১ সেপ্টেম্বর ২০২২,ইলিশের দাম সাধারণ মানুষের নাগালের মধ্যে রাখতে মাছটি বিদেশে রপ্তানি স্থায়ীভাবে বন্ধ করা উচিত বলে আপনি কি মনে করেন?,ভোট দিয়েছেন ১১২১০ জন,হ্যাঁ (১০৫৩৭ জন),৯৪%,না (৬৭৩ জন),৬%,মন্তব্য নেই (০ জন),০%
84,১০ সেপ্টেম্বর ২০২২,"একটি বিসিএসে চার বছর সময় লাগা দুঃখজনক, বিসিএসের পরীক্ষাপদ্ধতি বদলে নিয়োগের সময় আরও কমিয়ে আনা উচিত, পিএসসির সাবেক সদস্য বুয়েটের সহ-উপাচার্য আবদুল জব্বার খানের এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৪৪০৮ জন,হ্যাঁ (৪০১১ জন),৯১%,না (৩৫৩ জন),৮%,মন্তব্য নেই (৪৪ জন),১%
85,৯ সেপ্টেম্বর ২০২২,"শিক্ষাবিদ ও ঢাকা বিশ্ববিদ্যালয়ের ইমেরিটাস অধ্যাপক সিরাজুল ইসলাম চৌধুরী বলেছেন, দেশে যে রাষ্ট্রীয় দৌরাত্ম্য ও ফ্যাসিবাদ বিরাজ করছে, তার কারণে মানুষ মুখ খুলতে অত্যন্ত ভয় পায়, কী বললে কী হবে, সেই আতঙ্কে থাকে। তাঁর এ বক্তব্য আপনি কি সমর্থন করেন?",ভোট দিয়েছেন ৬২০৯ জন,হ্যাঁ (৪৭১৯ জন),৭৬%,না (১৪২৮ জন),২৩%,মন্তব্য নেই (৬২ জন),১%
86,৮ সেপ্টেম্বর ২০২২,"ঢাকা উত্তরের মেয়র আতিকুল ইসলাম বলেছেন, ব্যক্তিগত গাড়ি নিয়ে স্কুলে আসা যাবে না, স্কুলে যাতায়াতের জন্য সিটি করপোরেশনের ব্যবস্থাপনায় স্কুলবাস চালু করা হবে। আপনি কি তা সমর্থন করেন?",ভোট দিয়েছেন ৬৫৬০ জন,হ্যাঁ (৫৪৪৫ জন),৮৩%,না (১০৫০ জন),১৬%,মন্তব্য নেই (৬৬ জন),১%
87,৭ সেপ্টেম্বর ২০২২,"দেশের রাজনৈতিক পরিমণ্ডলে যে সংকট রয়েছে, তা ইভিএম নিয়ে নয়, আরও মোটাদাগের সংকট—প্রধান নির্বাচন কমিশনার (সিইসি) কাজী হাবিবুল আউয়ালের এ বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৪২৩২ জন,হ্যাঁ (৩৩৪৩ জন),৭৯%,না (৮০৪ জন),১৯%,মন্তব্য নেই (৮৫ জন),২%
88,৬ সেপ্টেম্বর ২০২২,"ঢাকার প্রথম মেট্রোরেলে ভ্রমণে সর্বনিম্ন ভাড়া ২০ টাকা, আর উত্তরা থেকে মতিঝিল স্টেশন পর্যন্ত ভাড়া ১০০ টাকা নির্ধারণ করা হয়েছে—সাধারণ মানুষের জন্য এই ভাড়া ঠিক আছে বলে আপনি কি মনে করেন?",ভোট দিয়েছেন ৬৯৪৪ জন,হ্যাঁ (১৪৫৮ জন),২১%,না (৫৪১৬ জন),৭৮%,মন্তব্য নেই (৬৯ জন),১%
89,৫ সেপ্টেম্বর ২০২২,"কোন শিক্ষাপ্রতিষ্ঠান কী নিয়মকানুন করল, কোন রাজনৈতিক দলের কী ব্যবস্থা হলো, সেটি শিক্ষাপ্রতিষ্ঠান ও রাজনৈতিক দলের বিষয়—বেসরকারি বিশ্ববিদ্যালয়ে ছাত্ররাজনীতি নিয়ে শিক্ষামন্ত্রী দীপু মনির এই বক্তব্যে আপনি কি সন্তুষ্ট?",ভোট দিয়েছেন ৩৬৩০ জন,হ্যাঁ (২৫৪ জন),৭%,না (৩৩৪০ জন),৯২%,মন্তব্য নেই (৩৬ জন),১%
90,৪ সেপ্টেম্বর ২০২২,"বাংলাদেশ সীমান্তের ভেতরে মিয়ানমারের গোলা পড়া, আকাশ থেকে গুলিবর্ষণ ও আকাশসীমা লঙ্ঘনের ঘটনায় গভীর উদ্বেগ প্রকাশ করেছে ঢাকা। এ নিয়ে ১৫ দিনে তিন দফায় মিয়ানমারের দূতকে তলব করা হলো। আপনি কি মনে করেন বাংলাদেশের এ উদ্বেগে মিয়ানমার ইতিবাচক সাড়া দেবে?",ভোট দিয়েছেন ৪১৭৫ জন,হ্যাঁ (৮৪ জন),২%,না (৪০৫০ জন),৯৭%,মন্তব্য নেই (৪২ জন),১%
91,৩ সেপ্টেম্বর ২০২২,ড্যাপে উল্লেখ করা প্রস্তাবগুলো বাস্তবায়ন করার সক্ষমতা রাজধানী উন্নয়ন কর্তৃপক্ষের নেই বলে মনে করে পরিকল্পনাবিদদের সংগঠন বাংলাদেশ ইনস্টিটিউট অব প্ল্যানার্স (বিআইপি)। সংগঠনটির এ ধারণার সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ২১৬৩ জন,হ্যাঁ (২০৫৫ জন),৯৫%,না (৬৫ জন),৩%,মন্তব্য নেই (৪৩ জন),২%
92,২ সেপ্টেম্বর ২০২২,"ছাত্রলীগ-যুবলীগের নেতা-কর্মীরা চাকরি পায় না বলে দুঃখ প্রকাশ করে পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেন বলেছেন, তাঁর দলের ছেলেমেয়েরা সামান্য ব্যবসা করতে গেলে দুর্নাম হয়। চাকরিও তারা সহজে পায় না। এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৫১৬৯ জন,হ্যাঁ (৩৬২ জন),৭%,না (৪৭৫৫ জন),৯২%,মন্তব্য নেই (৫২ জন),১%
93,১ সেপ্টেম্বর ২০২২,"বিএনপির সংসদ সদস্য রুমিন ফারহানা বলেছেন, প্রধানমন্ত্রী স্পষ্ট নির্দেশনা দিয়েছিলেন, বিরোধী দলের কর্মসূচিতে বাধা দেওয়া হবে না। কিন্তু পুলিশ প্রশাসনের আচরণ আরেক রকম। প্রধানমন্ত্রী এক ধরনের আশ্বাস দিচ্ছেন। আর যুবলীগ, ছাত্রলীগের কর্মীরা বিরোধী দলের সঙ্গে অন্য রকম আচরণ করছেন। তাঁর এ বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৫৪৭১ জন,হ্যাঁ (৫০৮৮ জন),৯৩%,না (৩২৮ জন),৬%,মন্তব্য নেই (৫৫ জন),১%
94,৩১ আগস্ট ২০২২,"চীনের সঙ্গে চলমান উত্তেজনার মধ্যে তাইওয়ান সরকার জানিয়েছে, নিজেদের ভূখণ্ডের সুরক্ষা নিশ্চিত করার অধিকার তাদের রয়েছে। চীন যদি তাইওয়ানের ভূখণ্ডে হামলা চালায়, তবে তা প্রতিরোধ করা হবে। তাইওয়ানের এ ঘোষণায় যুক্তরাষ্ট্রের সঙ্গে চীনের সম্পর্ক আরও খারাপ হবে বলে আপনি কি মনে করেন?",ভোট দিয়েছেন ৩৭৪৪ জন,হ্যাঁ (৩৪৪৪ জন),৯২%,না (২২৫ জন),৬%,মন্তব্য নেই (৭৫ জন),২%
95,৩০ আগস্ট ২০২২,হাসপাতালে সব সময় চিকিৎসক থাকেন না বলে ২৪ ঘণ্টাই হাসপাতালের ওষুধের দোকান খোলা রাখার যৌক্তিকতা নেই বলে মনে করেন ঢাকা দক্ষিণ সিটি করপোরেশনের মেয়র শেখ ফজলে নূর তাপস। আপনি কি তাঁর সঙ্গে একমত?,ভোট দিয়েছেন ৭২৮৩ জন,হ্যাঁ (২১৮ জন),৩%,না (৭০৬৫ জন),৯৭%,মন্তব্য নেই (০ জন),০%
96,২৯ আগস্ট ২০২২,জ্বালানি তেলের দাম লিটারে ৫ টাকা কমিয়েছে সরকার। এটা নিত্যপণ্যের বাজারে স্বস্তি ফেরাতে কোনো ভূমিকা রাখবে বলে আপনি কি মনে করেন?,ভোট দিয়েছেন ৮২৯৮ জন,হ্যাঁ (১৬৬ জন),২%,না (৮০৪৯ জন),৯৭%,মন্তব্য নেই (৮৩ জন),১%
97,২৮ আগস্ট ২০২২,"গণতান্ত্রিক রাজনীতির স্বার্থে হামলা নয়, বিএনপিকে দেশের মানুষের কাছে জনপ্রিয়তার পরীক্ষায় অংশ নেওয়ার সুযোগ দেওয়া উচিত—রাষ্ট্রবিজ্ঞানের অধ্যাপক হারুন-অর-রশিদের এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৫৮৬২ জন,হ্যাঁ (৫৫৬৯ জন),৯৫%,না (২৩৪ জন),৪%,মন্তব্য নেই (৫৯ জন),১%
98,২৭ আগস্ট ২০২২,"দেশে ভয়ের পরিবেশ তৈরি হয়েছে দাবি করে মানবাধিকারকর্মী নূর খান বলেছেন, সবাই এখন এমন সব বিষয় নিয়ে কথা বলেন যাতে কেউ বিরাগভাজন না হন। তাঁর এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৫৫৭০ জন,হ্যাঁ (৫১২৪ জন),৯২%,না (৩৯০ জন),৭%,মন্তব্য নেই (৫৬ জন),১%
99,২৬ আগস্ট ২০২২,রাজশাহী বিশ্ববিদ্যালয়ের মতিহার হলে ছাত্রলীগ নেতার নির্যাতনের শিকার অর্থনীতি বিভাগের ছাত্র সামছুল ইসলামের বাঁ কানের পর্দা ফেটে গেছে। এ ঘটনায় বিশ্ববিদ্যালয় প্রশাসন অভিযুক্ত নেতার বিরুদ্ধে যথাযথ পদক্ষেপ নেবে বলে মনে করেন কি?,ভোট দিয়েছেন ৫২৪৩ জন,হ্যাঁ (১৫৭ জন),৩%,না (৫০৩৩ জন),৯৬%,মন্তব্য নেই (৫২ জন),১%
100,২৫ আগস্ট ২০২২,"সিল মারামারির নির্বাচন চাই না, সে জন্যই ইভিএম চাই—আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদেরের এই বক্তব্যে আপনি কি সন্তুষ্ট?",ভোট দিয়েছেন ৬২৬৮ জন,হ্যাঁ (৩৭৬ জন),৬%,না (৫৮২৯ জন),৯৩%,মন্তব্য নেই (৬৩ জন),১%
101,২৪ আগস্ট ২০২২,বর্তমানে দেশে উচ্চবিত্ত ও উচ্চমধ্যবিত্ত ছাড়া সবাই কষ্টে আছে—ক্যাব সভাপতি গোলাম রহমানের এই বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৮২১৫ জন,হ্যাঁ (৭৯৬৯ জন),৯৭%,না (১৬৪ জন),২%,মন্তব্য নেই (৮২ জন),১%
102,২৩ আগস্ট ২০২২,বেশির ভাগ রাজনৈতিক দলের আপত্তি থাকলেও সর্বোচ্চ দেড় শ আসনে ইভিএমে ভোট করার সিদ্ধান্ত নিয়েছে নির্বাচন কমিশন। তারা রাজনৈতিক দলগুলোর আস্থা অর্জন করতে পারবে বলে আপনি কি মনে করেন?,ভোট দিয়েছেন ৭২৪৭ জন,হ্যাঁ (৩৬২ জন),৫%,না (৬৮১২ জন),৯৪%,মন্তব্য নেই (৭২ জন),১%
103,২২ আগস্ট ২০২২,"বিদ্যুৎ সাশ্রয়ে অফিস সময় এক ঘণ্টা কমানো হয়েছে, শিক্ষাপ্রতিষ্ঠানে ছুটি বাড়িয়ে করা হয়েছে দুই দিন। এগুলো করে সংকটের সুরাহা বলে আপনি মনে করেন কি?",ভোট দিয়েছেন ৮০৩১ জন,হ্যাঁ (৮৮৩ জন),১১%,না (৭০৬৭ জন),৮৮%,মন্তব্য নেই (৮০ জন),১%
104,২১ আগস্ট ২০২২,"মেয়র আতিকুল ইসলাম বলেছেন, বিভিন্ন উন্নয়ন প্রকল্পে যাঁরা ভারী কাজ করবেন, বিশেষ করে যাঁরা ক্রেন চালাবেন তাঁদের মানসিক স্বাস্থ্য পরীক্ষা এমনকি ডোপ টেস্টও করাতে হবে। এটা দুর্ঘটনা রোধে ভূমিকা রাখবে বলে আপনি কি মনে করেন?",ভোট দিয়েছেন ৫১১৫ জন,হ্যাঁ (৪৫০১ জন),৮৮%,না (৫৬৩ জন),১১%,মন্তব্য নেই (৫১ জন),১%
